Cliente,total_gasto,segmento
Cliente_035,1372327.42,Ouro
Cliente_039,1304950.26,Ouro
Cliente_001,1299378.25,Ouro
Cliente_023,1241530.99,Ouro
Cliente_017,1226177.06,Ouro
Cliente_016,1131280.96,Ouro
Cliente_008,1130718.49,Ouro
Cliente_024,1128030.43,Ouro
Cliente_032,1121406.29,Ouro
Cliente_037,1113518.37,Ouro
Cliente_028,1063181.05,Ouro
Cliente_018,1048791.09,Ouro
Cliente_033,1043242.74,Ouro
Cliente_005,1017671.07,Ouro
Cliente_003,1007873.54,Ouro
Cliente_020,999809.73,Ouro
Cliente_022,986202.15,Ouro
Cliente_021,978815.25,Ouro
Cliente_025,970025.39,Ouro
Cliente_045,965973.71,Ouro
Cliente_034,961727.77,Ouro
Cliente_026,958254.78,Ouro
Cliente_041,956419.91,Ouro
Cliente_044,947932.27,Ouro
Cliente_009,937340.5,Ouro
Cliente_049,934256.72,Ouro
Cliente_019,932892.44,Ouro
Cliente_006,918503.69,Ouro
Cliente_047,906380.17,Ouro
Cliente_012,895717.88,Ouro
Cliente_014,834558.02,Ouro
Cliente_048,832101.96,Ouro
Cliente_042,822254.1,Ouro
Cliente_015,818079.36,Ouro
Cliente_036,779043.28,Ouro
Cliente_004,774435.7,Ouro
Cliente_002,747227.82,Ouro
Cliente_038,733635.96,Ouro
Cliente_030,711962.78,Ouro
Cliente_013,694163.2,Ouro
Cliente_040,676089.23,Ouro
Cliente_010,650737.92,Ouro
Cliente_027,618529.5,Ouro
Cliente_029,589667.99,Ouro
Cliente_011,532061.66,Prata
Cliente_007,520132.44,Prata
Cliente_031,518784.05,Prata
Cliente_043,509774.86,Prata
Cliente_046,478473.26,Prata
Cliente_050,456500.59,Bronze
